Name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,stars,forks,watchers,open_issues,closed_issues,total_issues,open_pull_requests,closed_pull_requests,merged_pull_requests,total_pull_requests,releases_count,size_kb,language,is_private,is_fork,is_archived,has_issues,created_at,updated_at,pushed_at,default_branch,commit_count,mentionable_users,unique_pr_authors,has_actions,workflow_has_test_in_name,workflow_content_mentions_test,workflow_runs_tests,has_contributing,test_files,src_files,test_ratio,closed_issue_ratio,merged_pr_ratio,closed_pr_ratio,log_unique_pr_authors,days_since_push,log_stars,log_forks,log_total_prs,log_test_files,log_commit_count,log_releases,log_mentionable_users,popularity_score,activity_score,pr_score,testing_score,community_score,maturity_score,overall_score
apache/cassandra,,1.0,,,0.0,,,,,,9491.0,3803.0,432.0,0.0,0.0,0.0,585.0,3706.0,197.0,4488.0,0.0,450797.0,Java,False,False,False,False,2009-05-21T02:10:09Z,2025-11-23T19:17:34Z,2025-11-22 14:05:45+00:00,trunk,31466.0,500.0,539.0,1,False,False,0,1,2750.0,3272.0,0.8404645476772616,0.0,0.04389483065953654,0.8257575757575758,6.29156913955832,4,9.158204617555654,8.24380842366528,8.409385238781931,7.919719760924575,10.356694656629713,0.0,6.2166061010848646,0.9180803571428572,0.46253720238095236,0.6404761904761904,0.7766161118903755,0.9145833333333333,0.75,0.7871153374964033
liquibase/liquibase,1.0,0.0,,,0.0,32.0,12.0,93.0,119690.0,,5328.0,1932.0,139.0,607.0,1445.0,2052.0,66.0,1479.0,3827.0,5372.0,105.0,218916.0,Java,False,False,False,True,2011-07-08T20:08:20Z,2025-11-24T14:35:07Z,2025-11-24 20:19:41+00:00,master,14111.0,614.0,912.0,1,True,True,1,0,305.0,1181.0,0.25825571549534293,0.7041910331384016,0.712397617274758,0.27531645569620256,6.816735880594968,1,8.580918882296782,7.566828479208331,8.589141690728821,5.723585101952381,9.554780778246572,4.663439094112067,6.421622267806518,0.8476190476190475,0.7462983630952382,0.678125,0.6482264242555028,0.9339285714285714,0.5,0.7857136001114947
hapifhir/hapi-fhir,1.0,1.0,1.0,1.0,1.0,52.0,31.0,432.0,1425150.0,20.52,2227.0,1418.0,139.0,1053.0,2410.0,3463.0,262.0,528.0,3146.0,3936.0,111.0,998453.0,Java,False,False,False,True,2014-06-24T21:00:46Z,2025-11-24T18:02:03Z,2025-11-24 22:24:26+00:00,master,10435.0,281.0,362.0,1,False,True,1,0,1873.0,2912.0,0.6432005494505495,0.6959283857926654,0.7992886178861789,0.13414634146341464,5.8944028342648505,1,7.708859601047175,7.257707677160043,8.278174290943738,7.535830462798367,9.253016646256619,4.718498871295094,5.641907070938114,0.71875,0.7388206845238096,0.6184709821428572,0.8769088980002878,0.8519345238095238,0.5,0.7855804611072149
flowable/flowable-engine,1.0,0.0,,,0.0,5.0,31.0,104.0,10745.0,,8896.0,2768.0,261.0,359.0,1019.0,1378.0,29.0,577.0,2154.0,2760.0,28.0,237009.0,Java,False,False,False,True,2016-10-13T07:21:43Z,2025-11-24T08:22:22Z,2025-11-21 14:16:33+00:00,main,13790.0,275.0,278.0,1,True,True,1,0,2372.0,5387.0,0.4403192871728235,0.739477503628447,0.7804347826086957,0.20905797101449275,5.631211781821365,5,9.093469420244768,7.926241523170962,7.923348211930154,7.771910256435763,9.531771484474337,3.367295829986474,5.62040086571715,0.9017113095238094,0.5517857142857143,0.6390997023809524,0.8015337271615595,0.8242559523809523,0.5,0.7845445180999137
interestinglab/seatunnel,0.0,1.0,1.0,1.0,1.0,22.0,8.0,146.0,1057.0,,8906.0,2110.0,170.0,203.0,4109.0,4312.0,77.0,1264.0,4323.0,5664.0,52.0,49068.0,Java,False,False,False,True,2017-08-05T09:14:47Z,2025-11-25T01:24:11Z,2025-11-21 08:30:46+00:00,dev,5188.0,418.0,556.0,1,True,True,1,0,806.0,3197.0,0.2521113543947451,0.952922077922078,0.7632415254237288,0.2231638418079096,6.322565239927284,5,9.09459276343187,7.65491704784832,8.642062173462106,6.693323668269949,8.55429627936774,3.970291913552122,6.037870919922137,0.8949404761904761,0.6286830357142856,0.6878348214285714,0.6857823964177817,0.90625,0.5,0.7844645723187312
interestinglab/waterdrop,0.0,1.0,1.0,1.0,1.0,22.0,8.0,146.0,1057.0,,8906.0,2110.0,170.0,203.0,4109.0,4312.0,77.0,1264.0,4323.0,5664.0,52.0,49068.0,Java,False,False,False,True,2017-08-05T09:14:47Z,2025-11-25T01:24:11Z,2025-11-21 08:30:46+00:00,dev,5188.0,418.0,556.0,1,True,True,1,0,806.0,3197.0,0.2521113543947451,0.952922077922078,0.7632415254237288,0.2231638418079096,6.322565239927284,5,9.09459276343187,7.65491704784832,8.642062173462106,6.693323668269949,8.55429627936774,3.970291913552122,6.037870919922137,0.8949404761904761,0.6286830357142856,0.6878348214285714,0.6857823964177817,0.90625,0.5,0.7844645723187312
interestinglab/earth-fleet,0.0,1.0,1.0,1.0,1.0,22.0,8.0,146.0,1057.0,,8906.0,2110.0,170.0,203.0,4109.0,4312.0,77.0,1264.0,4323.0,5664.0,52.0,49068.0,Java,False,False,False,True,2017-08-05T09:14:47Z,2025-11-25T01:24:11Z,2025-11-21 08:30:46+00:00,dev,5188.0,418.0,556.0,1,True,True,1,0,806.0,3197.0,0.2521113543947451,0.952922077922078,0.7632415254237288,0.2231638418079096,6.322565239927284,5,9.09459276343187,7.65491704784832,8.642062173462106,6.693323668269949,8.55429627936774,3.970291913552122,6.037870919922137,0.8949404761904761,0.6286830357142856,0.6878348214285714,0.6857823964177817,0.90625,0.5,0.7844645723187312
dropwizard/metrics,1.0,1.0,1.0,1.0,1.0,20.0,19.0,22.0,44.0,86.89,7855.0,1803.0,356.0,2.0,658.0,660.0,4.0,1048.0,3260.0,4312.0,140.0,21253.0,Java,False,False,False,True,2010-02-26T19:44:42Z,2025-11-23T06:32:56Z,2025-11-22 20:14:30+00:00,release/4.2.x,4132.0,208.0,462.0,1,False,False,0,0,233.0,192.0,1.2135416666666667,0.996969696969697,0.7560296846011132,0.24304267161410018,6.137727054086234,3,8.969032850034301,7.4977617006225685,8.369388996647842,5.455321115357702,8.326758814511733,4.948759890378168,5.342334251964811,0.8772693452380952,0.7172991071428573,0.6744419642857142,0.721876348726802,0.8266369047619047,0.25,0.783439697300748
open-telemetry/opentelemetry-java,1.0,1.0,1.0,1.0,1.0,152.0,33.0,301.0,52913.0,,2302.0,916.0,70.0,151.0,1585.0,1736.0,37.0,546.0,4986.0,5569.0,89.0,28475.0,Java,False,False,False,True,2019-02-26T16:43:36Z,2025-11-24T22:14:03Z,2025-11-24 22:39:34+00:00,main,4951.0,258.0,312.0,1,True,True,1,1,471.0,1202.0,0.391846921797005,0.9130184331797235,0.8953133417130544,0.0980427365774825,5.746203190540153,1,7.741967899820685,6.821107472256465,8.62515033292133,6.156978985585555,8.507546814364431,4.499809670330265,5.556828061699537,0.6979166666666666,0.7635602678571429,0.7022693452380953,0.7300909941015682,0.8321428571428571,1.0,0.7831644895968206
zxing/zxing,,1.0,1.0,1.0,1.0,63.0,50.0,172.0,2256.0,,33716.0,9428.0,1641.0,5.0,1329.0,1334.0,0.0,224.0,344.0,568.0,32.0,243329.0,Java,False,False,False,True,2011-10-12T14:07:27Z,2025-11-24T19:52:23Z,2025-11-24 14:17:56+00:00,master,3864.0,130.0,254.0,1,True,True,1,1,158.0,359.0,0.4401114206128134,0.9962518740629686,0.6056338028169014,0.39436619718309857,5.541263545158426,2,10.425757440186377,9.151545325465678,6.343880434126331,5.0689042022202315,8.259716961021523,3.4965075614664802,4.875197323201151,0.9838541666666666,0.6714657738095239,0.40665922619047623,0.6909817944360525,0.6936755952380953,1.0,0.7825612968232989
