Name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,stars,forks,watchers,open_issues,closed_issues,total_issues,open_pull_requests,closed_pull_requests,merged_pull_requests,total_pull_requests,releases_count,size_kb,language,is_private,is_fork,is_archived,has_issues,created_at,updated_at,pushed_at,default_branch,commit_count,mentionable_users,unique_pr_authors,has_actions,workflow_has_test_in_name,workflow_content_mentions_test,workflow_runs_tests,has_contributing,test_files,src_files,java_source_version,java_target_version,java_version,test_ratio,closed_issue_ratio,merged_pr_ratio,closed_pr_ratio,log_unique_pr_authors,days_since_push,log_stars,log_forks,log_total_prs,log_test_files,log_commit_count,log_releases,log_mentionable_users,popularity_score,activity_score,pr_score,testing_score,community_score,maturity_score,overall_score,java_version_num
antennapod/antennapod,,1.0,,1.0,1.0,6.0,52.0,52.0,1477.0,,7426.0,1573.0,151.0,317.0,4227.0,4544.0,15.0,504.0,3010.0,3529.0,62.0,114135.0,Java,False,False,False,True,2012-07-31T10:25:08Z,2025-11-24T06:39:08Z,2025-11-22 14:56:43+00:00,develop,9218.0,360.0,411.0,1,True,True,1,1,80.0,516.0,21,21,21,0.15503875968992248,0.930237676056338,0.8529328421649193,0.14281666194389345,6.021023349349527,11,8.912877287669296,7.3613754289773485,8.169053149927343,4.394449154672439,9.129021850798594,4.143134726391533,5.8888779583328805,0.8695684523809524,0.6835193452380952,0.6759672619047619,0.5247251969141131,0.877529761904762,1.0,0.7679037694666235,21.0
cloudfoundry/uaa,1.0,0.0,,,0.0,4.0,27.0,58.0,67274.0,,1636.0,842.0,153.0,43.0,859.0,902.0,8.0,742.0,2019.0,2769.0,303.0,78271.0,Java,False,False,False,True,2012-02-07T22:40:55Z,2025-11-24T08:40:49Z,2025-11-24 08:40:46+00:00,develop,12026.0,187.0,223.0,1,True,True,1,0,779.0,959.0,21,21,21,0.8123044838373306,0.9523281596452328,0.7291440953412784,0.26796677500902855,5.4116460518550396,10,7.400620577371135,6.736966958001855,7.926602599181384,6.659293919683638,9.394909401310617,5.717027701406222,5.236441962829949,0.6373139880952381,0.789453125,0.6388020833333333,0.8904470804560496,0.7470238095238095,0.5,0.7672192849949647,21.0
openmrs/openmrs-core,1.0,1.0,1.0,1.0,1.0,27.0,20.0,43.0,574.0,7.14,1689.0,4052.0,150.0,0.0,0.0,0.0,86.0,2611.0,2828.0,5525.0,3.0,241193.0,Java,False,False,False,False,2012-07-26T04:54:29Z,2025-11-24T22:28:06Z,2025-11-24 22:28:00+00:00,master,12731.0,470.0,726.0,1,False,True,1,1,436.0,822.0,21,21,21,0.5304136253041363,0.0,0.5118552036199095,0.472579185520362,6.588926477533519,9,7.432483807917119,8.307212626628308,8.617219505483362,6.07993319509559,9.451873788401983,1.3862943611198906,6.154858094016418,0.7154017857142858,0.5643415178571429,0.6663690476190476,0.7886329305135952,0.9188988095238095,1.0,0.7664923100093513,21.0
apache/storm,0.0,1.0,0.0,0.0,1.0,112.0,8.0,260.0,4337.0,,6665.0,4056.0,565.0,46.0,4154.0,4200.0,0.0,1034.0,3073.0,4107.0,6.0,156416.0,Java,False,False,False,True,2013-11-05T08:00:14Z,2025-11-24T21:23:06Z,2025-11-21 14:05:07+00:00,master,11232.0,383.0,502.0,1,False,True,1,0,324.0,1690.0,17,17,17,0.19171597633136095,0.9890476190476191,0.7482347212076942,0.2517652787923058,6.220590170099739,12,8.804775258867686,8.308199063206446,8.32069157104845,5.783825182329737,9.326611153641569,1.9459101490553132,5.950642552587727,0.8953125,0.6368861607142857,0.6716889880952381,0.6215435503884333,0.89375,0.5,0.7664852179542512,17.0
openhab/openhab-addons,1.0,1.0,1.0,1.0,1.0,27.0,31.0,88.0,56449.0,5.56,2024.0,3696.0,186.0,590.0,5955.0,6545.0,82.0,1673.0,11312.0,13067.0,4.0,373564.0,Java,False,False,False,True,2014-05-13T19:41:58Z,2025-11-24T19:34:10Z,2025-11-24 19:34:04+00:00,main,6734.0,710.0,1316.0,1,False,True,1,1,1315.0,13354.0,21,21,21,0.09847236782986371,0.9098548510313216,0.8656922017295478,0.12803244815183287,7.183111701743281,9,7.613324979540639,8.215276958936633,9.477921772720961,7.182352111885263,8.815073088844464,1.6094379124341003,6.566672429803241,0.7404761904761905,0.6638950892857143,0.7333705357142857,0.6251205986548698,0.9471726190476191,1.0,0.7659248669256222,21.0
querydsl/querydsl,1.0,0.0,1.0,1.0,1.0,1.0,4.0,62.0,200.0,59.26,4932.0,877.0,155.0,35.0,2018.0,2053.0,46.0,663.0,1064.0,1773.0,35.0,51758.0,Java,False,False,False,True,2011-08-05T06:46:32Z,2025-11-24T06:16:13Z,2025-10-28 11:32:30+00:00,master,8083.0,112.0,210.0,1,False,True,1,0,1225.0,896.0,8,1.8,1.8,1.3671875,0.9829517778860205,0.6001128031584885,0.3739424703891709,5.351858133476067,36,8.503702601233739,6.777646593635117,7.480992162869525,7.111512116496157,8.997642078523512,3.58351893845611,4.727387818712341,0.7917782738095237,0.5821800595238096,0.5746279761904762,0.9475339092396778,0.634375,0.5,0.7654846677861099,8.0
geotools/geotools,1.0,1.0,,,0.0,29.0,34.0,205.0,43566.0,,1865.0,1181.0,112.0,0.0,0.0,0.0,6.0,636.0,4788.0,5430.0,55.0,433772.0,Java,False,False,False,False,2011-11-10T23:22:12Z,2025-11-24T12:30:19Z,2025-11-24 17:12:53+00:00,main,10301.0,294.0,390.0,1,False,True,1,1,2968.0,8578.0,17,17,17,0.34600139892748893,0.0,0.881767955801105,0.11712707182320442,5.968707559985366,9,7.531552381407289,7.074963197966044,8.599878558034845,7.99598047476376,9.24009333012553,4.02535169073515,5.68697535633982,0.6813244047619047,0.6390066964285714,0.7061755952380953,0.7596780139548267,0.8635416666666667,1.0,0.7643986701553733,17.0
teamnewpipe/newpipe,,1.0,1.0,1.0,1.0,45.0,91.0,57.0,1238.0,,35694.0,3320.0,606.0,1278.0,8530.0,9808.0,30.0,614.0,1699.0,2343.0,137.0,82889.0,Java,False,False,False,True,2015-09-03T23:39:26Z,2025-11-25T02:18:25Z,2025-11-21 12:10:18+00:00,dev,11711.0,948.0,550.0,1,False,True,1,1,10.0,326.0,21,21,21,0.03067484662576687,0.8696982055464927,0.725138711054204,0.2620571916346564,6.311734809152915,12,10.482765901936562,8.108021221376747,7.759614150696903,2.3978952727983707,9.368369236201092,4.927253685157205,6.855408798609928,0.9686011904761904,0.6862537202380953,0.6184895833333333,0.3899307990756725,0.9569940476190476,1.0,0.7637866432212991,21.0
spring-projects/spring-batch,0.0,0.0,,,0.0,,,,,,2891.0,2460.0,230.0,286.0,3453.0,3739.0,28.0,1001.0,263.0,1292.0,62.0,110840.0,Java,False,False,False,True,2010-11-17T17:53:45Z,2025-11-24T22:17:18Z,2025-11-24 11:25:26+00:00,main,6890.0,232.0,388.0,1,False,False,0,1,681.0,970.0,17,17,17,0.702061855670103,0.9235089596148703,0.20356037151702785,0.7747678018575851,5.963579343618446,9,7.969703583278656,7.8083230503910555,7.164720378771857,6.525029657843462,8.837971491357209,4.143134726391533,5.4510384535657,0.780877976190476,0.7562313988095238,0.528608630952381,0.7118479467882319,0.8322172619047619,0.75,0.7634846801494388,17.0
openfeign/feign,1.0,1.0,1.0,1.0,1.0,32.0,29.0,67.0,25815.0,,9766.0,1951.0,396.0,229.0,852.0,1081.0,11.0,393.0,1622.0,2026.0,39.0,10119.0,Java,False,False,False,True,2013-06-26T23:28:16Z,2025-11-24T11:11:47Z,2025-11-24 05:12:05+00:00,master,2644.0,283.0,359.0,1,False,False,0,1,233.0,249.0,1.8,1.8,1.8,0.9357429718875502,0.788159111933395,0.8005923000987167,0.19397828232971373,5.886104031450156,10,9.186764635447478,7.5766097669730375,7.614312146452,5.455321115357702,7.8804263442924,3.6888794541139363,5.648974238161206,0.8973214285714286,0.5184709821428571,0.6128348214285715,0.7018234786361675,0.851860119047619,0.75,0.7629577297780895,8.0
graphql-java/graphql-java,0.0,0.0,1.0,1.0,1.0,23.0,3.0,50.0,115975.0,,6226.0,1149.0,196.0,36.0,1298.0,1334.0,14.0,400.0,1959.0,2373.0,99.0,19948.0,Java,False,False,False,True,2015-07-06T06:52:20Z,2025-11-20T02:37:56Z,2025-11-24 16:57:35+00:00,master,5902.0,237.0,350.0,1,False,True,1,1,70.0,692.0,11,11,11,0.10115606936416185,0.9730134932533733,0.8255372945638433,0.1685630004214075,5.860786223465865,9,8.736649954872451,7.047517221357296,7.772331575169614,4.2626798770413155,8.683215975240689,4.605170185988092,5.472270673671475,0.8360863095238095,0.8028831845238096,0.6379092261904762,0.49053070151776723,0.8270833333333334,1.0,0.7624299224032515,11.0
languagetool-org/languagetool,1.0,0.0,,1.0,1.0,4.0,3.0,27.0,3470.0,,13773.0,1468.0,159.0,2025.0,4039.0,6064.0,31.0,740.0,4791.0,5562.0,0.0,6019188.0,Java,False,False,False,True,2013-08-08T16:37:22Z,2025-11-25T00:50:58Z,2025-11-24 17:35:14+00:00,master,80711.0,211.0,296.0,1,False,False,0,0,749.0,1290.0,17,17,17,0.5806201550387597,0.6660620052770448,0.8613807982740022,0.13304566702624954,5.6937321388027,9,9.530538036104643,7.292337176173877,8.623892810075294,6.620073206530356,11.298642542088215,0.0,5.356586274672012,0.9023065476190475,0.6144159226190476,0.7010416666666667,0.6789220975399223,0.7973958333333333,0.25,0.7607015065278375,17.0
